,Unnamed: 0,badge,firstname,lastname,middle,scopus,score,match_1
1,1,88348,Robert,Von Dreele,B,7004230828,0.974358974,Robert B. Von Dreele
3,3,53748,Evan,Maxey,R,6505931761,0.96,Evan R. Maxey
6,6,63535,Bogdan,Leu,M,8554973200,0.96,Bogdan M. Leu
7,7,54459,Xiaohua,Wang,,55737000900,1,Xiaohua Wang
8,8,54663,Rajkumar,Kettimuthu,,55936987500,1,Rajkumar Kettimuthu
9,9,54717,Leonidas,Ocola,E,7003633689,0.96969697,Leonidas E. Ocola
11,11,53124,Suresh,Narayanan,,7201741872,1,Suresh Narayanan
14,14,54125,Sarah,O'Brien,L,35097731100,0.967741935,Sarah L. O'Brien
15,15,54161,Valentine,Novosad,,55549920700,0.909090909,Valentyn Novosad
16,16,54044,Stephen,Ciatti,A,12344780100,0.96969697,Stephen A. Ciatti
17,17,54930,Hui,Li,,56267873700,1,Hui Li
20,20,54981,Nicholson,Collier,T,16041252300,0.974358974,Nicholson T. Collier
21,21,54956,Essam,El-Hannouny,M,24343352100,0.974358974,Essam M. El-Hannouny
22,22,225158,Ruben,Reininger,,22968354300,1,Ruben Reininger
23,23,55421,Veronika,Vonstein,,6506407533,1,Veronika Vonstein
24,24,54823,Kent,Wardle,E,14042810700,0.962962963,Kent E. Wardle
28,28,53199,Diane,Rodi,J,6603743624,0.96,Diane J. Rodi
35,35,53689,Katarzyna,Keahey,,35580532500,1,Katarzyna Keahey
36,36,54341,Qizhi,Zhang,,35224152400,1,Qizhi Zhang
38,38,54797,Peter,Beckman,H,7004731470,0.967741935,Peter H. Beckman
39,39,63618,Karena,Chapman,W,56514228700,0.96969697,Karena W. Chapman
41,41,53506,Wenquan,Lu,,56411331300,1,Wenquan Lu
42,42,55043,Alex,Martinson,B,12143414800,0.96969697,Alex B. Martinson
43,43,64969,Timothy,Fister,T,14031477100,0.96969697,Timothy T. Fister
45,45,65181,Stanislav,Stoupin,A,8580229500,0.944444444,Stanislav Stoupin
47,47,64389,Ruqing,Xu,,56549311200,1,Ruqing Xu
51,51,54884,Xiaobing,Zuo,,56492254900,1,Xiaobing Zuo
53,53,56246,Yu,Huang,,37047118900,1,Yu Huang
56,56,51161,Stephen,Streiffer,K,7005319367,0.974358974,Stephen K. Streiffer
58,58,52408,Oliver,Schmidt,A,16053215200,0.933333333,Oliver Schmidt
59,59,51406,Ruiying,Wu,,7402944893,1,Ruiying Wu
60,60,54340,Alexander,Zinovev,V,6507634862,0.974358974,Alexander V. Zinovev
61,61,54852,Susan,Coghlan,M,13405917300,0.928571429,Susan Coghlan
65,65,64103,Craig,Ogata,M,56379886000,0.962962963,Craig M. Ogata
71,71,53866,Wanming,Liu,,56420707700,1,Wanming Liu
72,72,54279,Magali,Ferrandon,S,6603151471,0.972972973,Magali S. Ferrandon
73,73,54616,Edward,Frank,D,55173208100,0.965517241,Edward D. Frank
74,74,53162,Stephen,Corcoran,J,16052128000,0.941176471,Stephen Corcoran
75,75,53493,Miguel,Gonzalez-Meler,A,6602099090,0.936170213,Miquel A. Gonzalez-Meler
76,76,53487,Michael,Wilde,J,35501268200,0.967741935,Michael J. Wilde
78,78,53729,Bing,Shi,,56518958200,1,Bing Shi
80,80,64359,Zhang,Jiang,,8669859100,1,Zhang Jiang
81,81,55258,Bogdan,Alexandreanu,,6602857299,1,Bogdan Alexandreanu
82,82,53910,Evan,Vander Zee,B,56415117000,0.971428571,Evan B. Vander Zee
